Name,URL,Division,Status,Notes
Advanced Rapid Imaging and Analysis (ARIA) GitHub,https://github.com/aria-jpl,Earth,Assigned,
Alaska Satellite Facility (ASF) Github,https://github.com/asfadmin,Earth,In Production,
Caltech IPAC Software GitHub,https://github.com/Caltech-IPAC,Astro,Not yet indexed,
Integrated Software for Imagers and Spectrometers v3 (ISIS3) GitHub,https://github.com/DOI-USGS/ISIS3,PDS,Assigned,
Earth Observing System Data and Information System (EOSDIS) GitHub,https://github.com/eosdis-nasa,Earth,Assigned,
Fermi Gamma-Ray Space Telescope GitHub,https://github.com/fermi-lat,Astro,Assigned,
GHRC DAAC GitHub,https://github.com/ghrcdaac,Earth,Scraped but not Curated,
HDF-EOS Tools and Information Center GitHub,https://github.com/hdfeos,Earth,Assigned,
HPDE GitHub,https://github.com/hpde/,Helio,In Production,
Machine Learning and Instrument Autonomy GitHub,https://github.com/JPLMLIA,Multiple,Assigned,
JPL Ephemeris Reader for Go,https://github.com/mshafiee/jpl,PDS,Assigned,
NASA GitHub,https://github.com/nasa,Multiple,Assigned,"ASDC, LP DAAC, and GESDISC GitHubs are under here"
NASA Advanced Multi-Mission Operations System (AMMOS),https://github.com/NASA-AMMOS,PDS,Assigned,
NASA Common Metadata Repository (CMR) GitHub,https://github.com/nasa-cmr,Earth,Assigned,
NASA Cryospheric Sciences Laboratory,https://github.com/NASA-Cryospheric-Sciences-Laboratory,Earth,Assigned,
NASA DEVELOP GitHub,https://github.com/NASA-DEVELOP,Earth,Assigned,
NASA Fornax GitHub,https://github.com/nasa-fornax,Astro,Assigned,
General Coodinates Network (GCN) GitHub,https://github.com/nasa-gcn,Astro,Assigned,
NASA GIBS GitHub,https://github.com/nasa-gibs,Earth,Scraped but not Curated,
NASA IMPACT GitHub,https://github.com/NASA-IMPACT,Earth,Scraped but not Curated,
NASA Jet Propulsion Laboratory (JPL) GitHub,https://github.com/nasa-jpl,PDS,Assigned,
NASA Lambda GitHub,https://github.com/nasa-lambda,Astro,Curated,
NASA Land Information System (LIS) GitHub,https://github.com/NASA-LIS,Earth,Assigned,
NASA NAVO GitHub,https://github.com/NASA-NAVO,Astro,Assigned,
NASA Center for Climate Simulation (NCCS) GitHub,https://github.com/nasa-nccs-cds,Earth,Assigned,
NASA GSFC Data Science Group GitHub,https://github.com/nasa-nccs-hpda,Earth,Assigned,
NASA Openscapes GitHub,https://github.com/nasa-openscapes,Earth,Not yet indexed,
NASA PDS GitHub,https://github.com/nasa-pds,PDS,Not yet indexed,
PDS Engineering Node GitHub,https://github.com/nasa-pds-engineering-node,PDS,Assigned,
NASA Planetary Science GitHub,https://github.com/NASA-Planetary-Science,PDS,Scraped but not Curated,
NASA Student Airborne Research Program (SARP) GitHub,https://github.com/NASA-SARP,Earth,Assigned,
Salinity and Stratification at the Sea Ice Edge (SASSIE) GitHub,https://github.com/NASA-SASSIE,Earth,Assigned,
NASA ARSET GitHub,https://github.com/NASAARSET,Earth,Assigned,
NASA Datanauts GitHub,https://github.com/NASADatanauts,Multiple,Assigned,
Planetary Spectrum Generator (PSG) GitHub,https://github.com/nasapsg,PDS,Assigned,
NASA Psyche GitHub,https://github.com/NASAPsyche,PDS,Assigned,
NASA WorldWind GitHub,https://github.com/NASAWorldWind,Earth,Assigned,
NASA Ames Stereo Pipeline GitHub,https://github.com/NeoGeographyToolkit/StereoPipeline,PDS,Assigned,
National Snow and Ice Data Center (NSIDC) GitHub,https://github.com/nsidc,Earth,Assigned,
"ANISE (Attitude, Navigation, Instrument, Spacecraft, Ephemeris) GitHub",https://github.com/nyx-space/anise,PDS,Assigned,
ORNL DAAC GitHub,https://github.com/ornldaac,Earth,Scraped but not Curated,
NASA Ames PAH IR Spectroscopic Database (PAHdb) GitHub,https://github.com/PAHdb,Astro,Assigned,
PO.DAAC GitHub,https://github.com/podaac,Earth,Scraped but not Curated,
PUNCH Mission GitHub,https://github.com/punch-mission,Helio,Assigned,
SEADAS GitHub,https://github.com/seadas,Earth,Scraped but not Curated,
SERVIR Amazonia GitHub,https://github.com/SERVIR-Amazonia,Earth,Assigned,
SnowEc GitHub,https://github.com/SnowEx,Earth,Assigned,
Space Telescope Science Institute GitHub,https://github.com/spacetelescope,Astro,Assigned,
Space Science Data Lab GitHub,https://github.com/SSDataLab,Astro,Assigned,
Space Weather Science Operations Center (SWxSOC) GitHub,https://github.com/swxsoc,Helio,Assigned,
Gamma-ray Data Tools GitHub,https://github.com/USRA-STI/,Astro,In Production,
Mars Target Encyclopedia (MTE),https://github.com/wkiri/MTE,PDS,In Production,
